"Duration","[0.001, 0.0050000000000000001, 5]","","[0.001, 0.0050000000000000001, 15]","","[0.001, 0.0050000000000000001, 30]","","[0.001, 0.0050000000000000001, 60]","","[0.001, 0.01, 5]","","[0.001, 0.01, 15]","","[0.001, 0.01, 30]","","[0.001, 0.01, 60]","","[0.001, 0.014999999999999999, 5]","","[0.001, 0.014999999999999999, 15]","","[0.001, 0.014999999999999999, 30]","","[0.001, 0.014999999999999999, 60]","","[0.001, 0.02, 5]","","[0.001, 0.02, 15]","","[0.001, 0.02, 30]","","[0.001, 0.02, 60]","","[0.002, 0.0050000000000000001, 5]","","[0.002, 0.0050000000000000001, 15]","","[0.002, 0.0050000000000000001, 30]","","[0.002, 0.0050000000000000001, 60]","","[0.002, 0.01, 5]","","[0.002, 0.01, 15]","","[0.002, 0.01, 30]","","[0.002, 0.01, 60]","","[0.002, 0.014999999999999999, 5]","","[0.002, 0.014999999999999999, 15]","","[0.002, 0.014999999999999999, 30]","","[0.002, 0.014999999999999999, 60]","","[0.002, 0.02, 5]","","[0.002, 0.02, 15]","","[0.002, 0.02, 30]","","[0.002, 0.02, 60]","","[0.0030000000000000001, 0.0050000000000000001, 5]","","[0.0030000000000000001, 0.0050000000000000001, 15]","","[0.0030000000000000001, 0.0050000000000000001, 30]","","[0.0030000000000000001, 0.0050000000000000001, 60]","","[0.0030000000000000001, 0.01, 5]","","[0.0030000000000000001, 0.01, 15]","","[0.0030000000000000001, 0.01, 30]","","[0.0030000000000000001, 0.01, 60]","","[0.0030000000000000001, 0.014999999999999999, 5]","","[0.0030000000000000001, 0.014999999999999999, 15]","","[0.0030000000000000001, 0.014999999999999999, 30]","","[0.0030000000000000001, 0.014999999999999999, 60]","","[0.0030000000000000001, 0.02, 5]","","[0.0030000000000000001, 0.02, 15]","","[0.0030000000000000001, 0.02, 30]","","[0.0030000000000000001, 0.02, 60]","","[0.0040000000000000001, 0.0050000000000000001, 5]","","[0.0040000000000000001, 0.0050000000000000001, 15]","","[0.0040000000000000001, 0.0050000000000000001, 30]","","[0.0040000000000000001, 0.0050000000000000001, 60]","","[0.0040000000000000001, 0.01, 5]","","[0.0040000000000000001, 0.01, 15]","","[0.0040000000000000001, 0.01, 30]","","[0.0040000000000000001, 0.01, 60]","","[0.0040000000000000001, 0.014999999999999999, 5]","","[0.0040000000000000001, 0.014999999999999999, 15]","","[0.0040000000000000001, 0.014999999999999999, 30]","","[0.0040000000000000001, 0.014999999999999999, 60]","","[0.0040000000000000001, 0.02, 5]","","[0.0040000000000000001, 0.02, 15]","","[0.0040000000000000001, 0.02, 30]","","[0.0040000000000000001, 0.02, 60]",""
1,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,53.3500000001,0,-,0,-,0,38.2812500001,1.57750650893,47.8857142858,1.68268492934,-,0,-,0,36.1450000001,0.914224018256,45.7775000001,0.698772419846,65.5583333334,0.491341700517,-,0,37.005263158,1.20010355304,44.4125000001,0.408422833013,61.0300000001,0.0656946685332,92.0500000001,2.91600586048e-14,36.4200000001,1.2370806041,43.6775000001,0.263316399633,59.9475000001,0.0715891053164,90.6500000001,2.91600586048e-14,34.6925000001,0.460627432508,43.3000000001,0.191942973987,59.9175000001,0.0372579910185,90.3500000001,2.91600586048e-14,34.2725000001,0.392520532483,43.0575000001,0.11271178895,59.3100000001,0.0307793505626,89.7500000001,2.91600586048e-14,34.1450000001,0.25899603736,42.8675000001,0.142602686916,57.8250000001,4.69000897766,89.3000000001,0.0,33.9925000001,0.18657226623,42.5850000001,0.145185906232,58.5350000001,0.0328473342666,88.9500000001,2.91600586048e-14,33.6175000001,0.160816174887,40.3275000001,2.75520918109,55.7450000001,7.01477575888,81.3750000001,18.2635277909,33.5200000001,0.139924791829,41.1150000001,2.16595062392,53.0475000001,9.44694986978,57.6575000001,25.9680688286,33.4825000001,0.0977039028472,38.9300000001,2.56322165705,45.9475000001,10.2472265182,55.2625000001,24.9950567481,33.4700000001,0.126074330623,37.9925000001,2.21420503734,40.3300000001,7.73631899413,47.3275000001,21.0363249429
2,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,50.5000000001,0,-,0,-,0,38.2000000001,0,45.5550000001,0.446300583157,66.3227272728,1.84599074163,-,0,38.7000000001,1.77084982167,44.5975000001,0.219733690491,61.0200000001,0.0410391340834,92.0000000001,4.37400879073e-14,37.5000000001,0.886150753481,43.8625000001,0.190480693869,59.9550000001,0.0426120813113,90.6500000001,2.91600586048e-14,35.8625000001,0.322765598506,43.3725000001,0.147322596259,59.8600000001,0.0347926186969,90.3500000001,2.91600586048e-14,35.4800000001,0.283957001934,43.0100000001,0.148323969742,59.2950000001,0.0153896752813,89.7000000001,0.0,35.1750000001,0.216126181468,42.7375000001,0.133648202776,58.8575000001,0.0183173774266,89.3000000001,0.0,35.1000000001,0.181369062527,42.5950000001,0.134653551559,58.5300000001,0.0251312344975,88.9500000001,2.91600586048e-14,34.5450000001,0.123437604097,42.4575000001,0.0892586425124,57.5675000001,4.42921743712,88.8500000001,2.91600586048e-14,34.5000000001,0.148678388335,41.7350000001,1.28473835141,56.4225000001,5.86482545619,86.3275000001,10.3865357555,34.4025000001,0.138102745885,41.9375000001,0.766893082509,54.2700000001,7.90083939578,68.6500000001,24.8887683398,34.3200000001,0.112857618729,40.0250000001,1.63927936671,48.7100000001,9.52655015705,61.2425000001,25.1214852216
3,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,45.5325000001,0.29525858426,65.2725000001,0.629426430633,-,0,42.3750000001,2.43970138688,44.4400000001,0.201703273465,60.9400000001,0.0416754376733,92.0000000001,4.37400879073e-14,39.3050000001,0.948114472325,43.8375000001,0.162120001039,59.8950000001,0.0276253125727,90.6500000001,2.91600586048e-14,37.3100000001,0.523047748651,43.2325000001,0.0907207978244,59.8100000001,0.0205195670417,90.3500000001,2.91600586048e-14,36.7550000001,0.22705204597,42.9200000001,0.0695852373938,59.2325000001,0.0244680242465,89.7000000001,0.0,36.4150000001,0.175544266422,42.6825000001,0.0977039028472,58.8250000001,0.0256494588021,89.3000000001,0.0,36.1625000001,0.14130500792,42.5475000001,0.0785979107798,58.4875000001,0.022213082916,88.9500000001,2.91600586048e-14,35.6450000001,0.147701690829,42.3450000001,0.0535576423364,58.5200000001,0.0251312344975,88.8500000001,2.91600586048e-14,35.5600000001,0.0897364562424,42.1825000001,0.0765626678301,56.5025000001,5.51040821394,88.6500000001,2.91600586048e-14,35.4375000001,0.0758721223334,41.9300000001,0.403732584764,55.5825000001,6.13403522633,83.6800000001,14.6820728495,35.3350000001,0.102726002448,40.9350000001,1.06079662221,44.5650000001,6.9535129327,61.9625000001,24.4505455488
4,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,46.9200000001,0.317411404962,-,0,-,0,-,0,45.3850000001,0.444587330833,64.6800000001,0.297091160917,-,0,42.4666666668,0.775134396949,44.3475000001,0.14552536404,60.8425000001,0.0466651002243,92.0000000001,4.37400879073e-14,42.2055555557,1.93100772906,43.8050000001,0.162949782384,59.8300000001,0.0410391340834,90.6500000001,2.91600586048e-14,39.0475000001,0.504055917951,43.0600000001,0.113090555239,59.7450000001,0.0276253125727,90.3500000001,2.91600586048e-14,38.2175000001,0.426822716803,42.8725000001,0.111773973056,59.1825000001,0.0244680242465,89.7000000001,0.0,37.6600000001,0.296292884971,42.6725000001,0.0734040727394,58.7700000001,0.0251312344975,89.3000000001,0.0,37.4350000001,0.220107629175,42.4700000001,0.0410391340834,58.4425000001,0.0293571474306,88.9500000001,2.91600586048e-14,36.9325000001,0.132063581178,42.2425000001,0.0949722951292,58.4850000001,0.0235081172991,88.8500000001,2.91600586048e-14,36.7450000001,0.16535448365,42.0675000001,0.177908166731,58.2500000001,7.29001465121e-15,84.1225000001,13.9362030905,36.6725000001,0.118627013876,41.8850000001,0.24926206881,56.3825000001,5.10225118014,79.0050000001,19.3856763454,36.5100000001,0.120961063766,41.4750000001,0.572276157113,52.1725000001,8.00426654321,58.2175000001,22.6816542781
5,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,48.2500000001,0,-,0,-,0,-,0,45.3350000001,0.33720991432,64.0325000001,0.263216440856,-,0,-,0,44.4550000001,0.2832610847,60.7900000001,0.0575828921962,91.9500000001,2.91600586048e-14,44.4250000001,1.72255958923,43.8150000001,0.169441808052,59.7800000001,0.0299121520808,90.6000000001,4.37400879073e-14,41.190909091,0.920819792853,43.0550000001,0.125551415343,59.6725000001,0.0255208892767,90.3500000001,2.91600586048e-14,40.2075000001,0.636659662862,42.8300000001,0.0992073851241,59.1200000001,0.0299121520808,89.7000000001,0.0,39.1600000001,0.336233001918,42.6250000001,0.0786397515657,58.7325000001,0.0244680242465,89.3000000001,0.0,38.9450000001,0.349021187715,42.4650000001,0.0859926557452,58.3975000001,0.0197017231413,88.9500000001,2.91600586048e-14,38.2000000001,0.145999279018,42.2250000001,0.0716350399411,58.4425000001,0.0183173774266,88.8500000001,2.91600586048e-14,38.1150000001,0.135821089751,42.0525000001,0.0802545293032,58.2000000001,2.91600586048e-14,88.6500000001,2.91600586048e-14,37.8975000001,0.138102745885,41.9550000001,0.121286958556,56.4500000001,4.74521920075,83.8875000001,14.043924281,37.6850000001,0.0974679434481,41.7575000001,0.167233684595,50.4525000001,7.60248357966,65.4750000001,23.3768976151
6,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,47.7250000001,0.954594154602,-,0,-,0,-,0,45.7550000001,0.539712399046,63.8150000001,0.29872536234,-,0,-,0,44.5075000001,0.359193174827,60.6950000001,0.0582643702627,91.9500000001,2.91600586048e-14,-,0,44.0225000001,0.173565549577,59.7400000001,0.0416754376733,90.6000000001,4.37400879073e-14,42.9000000001,0.662067468868,43.0400000001,0.099472291831,59.6175000001,0.0293571474306,90.3500000001,2.91600586048e-14,42.8566666668,1.26475105776,42.8125000001,0.0886670294149,59.0775000001,0.0343166370577,89.7000000001,0.0,41.0575000001,0.508939816523,42.6600000001,0.0753937034925,58.6900000001,0.026157418189,89.3000000001,0.0,40.4750000001,0.50640632739,42.4900000001,0.0736277979542,58.3450000001,0.0276253125727,88.9500000001,2.91600586048e-14,39.8200000001,0.228496228231,42.2000000001,0.0538027586849,58.3850000001,0.0235081172991,88.8500000001,2.91600586048e-14,39.3825000001,0.202143122825,42.1075000001,0.0634013946385,58.1575000001,0.0183173774266,88.6500000001,2.91600586048e-14,39.2175000001,0.137912061989,41.9875000001,0.0971637250916,56.6125000001,4.10740265605,86.2200000001,9.97286317965,39.0550000001,0.103745640365,41.9150000001,0.0762613235768,52.9950000001,6.66976485027,70.4775000001,22.3414794485
7,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,47.0166666668,0.453688586294,-,0,-,0,-,0,45.8075000001,0.535643980349,63.2875000001,0.170814611726,-,0,-,0,44.7375000001,0.253333044783,60.6050000001,0.0426120813113,91.9000000001,0.0,48.8500000001,0,44.0550000001,0.153811230854,59.6650000001,0.0540467633775,90.6000000001,4.37400879073e-14,-,0,43.0600000001,0.0804592083638,59.5075000001,0.0293571474306,90.3500000001,2.91600586048e-14,44.3700000001,1.29597668017,42.8600000001,0.0836660026534,59.0075000001,0.0244680242465,89.7000000001,0.0,42.6125000001,0.477348763595,42.6950000001,0.0426120813113,58.6150000001,0.0235081172991,89.2500000001,2.91600586048e-14,41.9225000001,0.391513594575,42.5725000001,0.0595487416456,58.2950000001,0.0153896752813,88.9500000001,2.91600586048e-14,41.1175000001,0.303173999024,42.2175000001,0.0612909369105,58.3300000001,0.0251312344975,88.8500000001,2.91600586048e-14,40.7225000001,0.175075171825,42.1175000001,0.0372579910185,58.0975000001,0.0111803398875,88.6500000001,2.91600586048e-14,40.4675000001,0.191445333684,42.0825000001,0.0544711415628,56.6525000001,3.82290448275,86.3550000001,9.36912482573,40.2525000001,0.0979728748712,41.9725000001,0.0499341671867,52.0175000001,6.50490250342,77.4425000001,19.2059220239
8,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,46.2600000001,0.745795230821,62.9350000001,0.197417537748,-,0,-,0,44.9050000001,0.280460148215,60.5025000001,0.0499341671867,91.9000000001,0.0,-,0,44.2875000001,0.144981850044,59.6025000001,0.0658447136511,90.5725000001,0.0255208892767,-,0,43.2000000001,0.101307245026,59.4250000001,0.0344123600806,90.3500000001,2.91600586048e-14,48.1500000001,0,42.9975000001,0.119731058276,58.9175000001,0.0244680242465,89.7000000001,0.0,44.7725000001,0.984815638638,42.8450000001,0.0705243518972,58.5425000001,0.0183173774266,89.2500000001,2.91600586048e-14,43.3175000001,0.574977116249,42.7200000001,0.0523148363781,58.2400000001,0.0307793505626,88.9500000001,2.91600586048e-14,42.5150000001,0.25705825676,42.3600000001,0.0660940318987,58.2575000001,0.0293571474306,88.8500000001,2.91600586048e-14,42.1050000001,0.22705204597,42.2625000001,0.0425348154612,58.0400000001,0.0205195670417,88.6500000001,2.91600586048e-14,41.7575000001,0.2820390977,42.1975000001,0.0412788973741,57.8350000001,0.0235081172991,88.4500000001,2.91600586048e-14,41.4600000001,0.140112736564,42.1525000001,0.0302402659415,52.9250000001,5.98497021054,73.5000000001,20.6479067373
9,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,47.0433333334,1.32730482378,62.7325000001,0.249354429636,-,0,-,0,45.4375000001,0.283249471593,60.4125000001,0.0666392487479,91.8500000001,2.91600586048e-14,-,0,44.7800000001,0.277393886777,59.5350000001,0.0400657354593,90.5500000001,2.91600586048e-14,-,0,43.4875000001,0.108670191526,59.3400000001,0.04472135955,90.3500000001,2.91600586048e-14,47.4500000001,0,43.3100000001,0.103364454849,58.8400000001,0.0383885947975,89.7000000001,0.0,46.5187500001,1.58775260457,43.1550000001,0.074161984871,58.4750000001,0.0413585095934,89.2500000001,2.91600586048e-14,44.6700000001,0.567172117197,43.0450000001,0.0723660286686,58.1700000001,0.0340278523689,88.9500000001,2.91600586048e-14,44.2075000001,0.778202212931,42.6150000001,0.048936048493,58.1900000001,0.026157418189,88.8500000001,2.91600586048e-14,43.4625000001,0.203828488273,42.5350000001,0.0515547741421,57.9775000001,0.0255208892767,88.6075000001,0.0183173774266,43.0425000001,0.260199821999,42.4800000001,0.0376968517463,57.2475000001,2.3768330876,84.2750000001,12.8503788599,42.7550000001,0.192558945179,42.4250000001,0.0413585095934,53.6675000001,4.97079033746,71.6875000001,20.8343458526
10,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,-,0,48.2687500001,1.16494558426,62.3425000001,0.33649704777,-,0,-,0,46.6350000001,0.603084178466,60.3000000001,0.0794719414239,91.8500000001,2.91600586048e-14,-,0,45.4600000001,0.360774021704,59.4550000001,0.0626183090763,90.5500000001,2.91600586048e-14,-,0,44.0025000001,0.111773973056,59.2350000001,0.0461690258438,90.3000000001,0.0,-,0,43.8250000001,0.110620260826,58.7575000001,0.0437546989958,89.7000000001,0.0,47.890909091,1.04326846541,43.6400000001,0.119868348836,58.4125000001,0.0358175199706,89.2500000001,2.91600586048e-14,46.6025000001,0.669735808085,43.5025000001,0.0572965508285,58.1000000001,0.0397359707119,88.9000000001,0.0,45.8736842106,1.16801926604,43.0675000001,0.0406363850444,58.1250000001,0.0256494588021,88.8500000001,2.91600586048e-14,44.7075000001,0.322928621737,42.9950000001,0.0483953020773,57.4575000001,2.00264791818,88.6000000001,4.37400879073e-14,44.3450000001,0.216369566884,42.9400000001,0.0383885947975,57.2350000001,2.11511477852,88.4500000001,2.91600586048e-14,43.9550000001,0.191187425264,42.8700000001,0.0441289975079,55.1275000001,3.93076512573,74.2000000001,19.6481216459
