"Duration","0.001_0.005_5","","0.001_0.005_15","","0.001_0.005_30","","0.001_0.005_60","","0.001_0.01_5","","0.001_0.01_15","","0.001_0.01_30","","0.001_0.01_60","","0.001_0.015_5","","0.001_0.015_15","","0.001_0.015_30","","0.001_0.015_60","","0.001_0.02_5","","0.001_0.02_15","","0.001_0.02_30","","0.001_0.02_60","","0.002_0.005_5","","0.002_0.005_15","","0.002_0.005_30","","0.002_0.005_60","","0.002_0.01_5","","0.002_0.01_15","","0.002_0.01_30","","0.002_0.01_60","","0.002_0.015_5","","0.002_0.015_15","","0.002_0.015_30","","0.002_0.015_60","","0.002_0.02_5","","0.002_0.02_15","","0.002_0.02_30","","0.002_0.02_60","","0.003_0.005_5","","0.003_0.005_15","","0.003_0.005_30","","0.003_0.005_60","","0.003_0.01_5","","0.003_0.01_15","","0.003_0.01_30","","0.003_0.01_60","","0.003_0.015_5","","0.003_0.015_15","","0.003_0.015_30","","0.003_0.015_60","","0.003_0.02_5","","0.003_0.02_15","","0.003_0.02_30","","0.003_0.02_60","","0.004_0.005_5","","0.004_0.005_15","","0.004_0.005_30","","0.004_0.005_60","","0.004_0.01_5","","0.004_0.01_15","","0.004_0.01_30","","0.004_0.01_60","","0.004_0.015_5","","0.004_0.015_15","","0.004_0.015_30","","0.004_0.015_60","","0.004_0.02_5","","0.004_0.02_15","","0.004_0.02_30","","0.004_0.02_60",""
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22360679775,0.0,0.0,0.0,0.0,0.4,0.50262468995,0.35,0.48936048493,0.0,0.0,0.0,0.0,0.5,0.512989176043,1.0,0.0,0.3,0.470162345982,0.0,0.0,0.95,0.22360679775,1.0,0.0,1.0,0.0,1.0,0.0,1.05,0.22360679775,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.4,0.50262468995,1.0,0.0,1.0,0.0,1.0,0.0,1.9,0.307793505626,1.9,0.307793505626,1.05,0.22360679775,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.95,0.22360679775,1.9,0.552506251453,1.15,0.366347548533,1.15,0.366347548533,2.0,0.0,2.25,0.444261658319,1.25,0.444261658319,1.6,0.50262468995,2.15,0.366347548533,2.65,0.48936048493,2.6,0.50262468995,2.65,0.48936048493,2.9,0.307793505626,2.85,0.366347548533,2.85,0.366347548533,2.8,0.410391340834
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22360679775,0.0,0.0,0.0,0.0,0.05,0.22360679775,1.0,0.0,0.55,0.510417785534,0.0,0.0,0.6,0.50262468995,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.55,0.510417785534,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.9,0.307793505626,1.85,0.366347548533,1.05,0.22360679775,1.0,0.0,2.0,0.0,2.15,0.366347548533,1.1,0.307793505626,1.05,0.22360679775,2.0,0.0,2.1,0.307793505626,2.2,0.410391340834,2.4,0.50262468995,2.9,0.307793505626,2.8,0.410391340834,2.5,0.512989176043,2.55,0.510417785534
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4,0.50262468995,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.1,0.307793505626,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.45,0.510417785534,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.1,0.307793505626,1.0,0.0,2.0,0.0,2.05,0.22360679775,2.15,0.366347548533,2.1,0.307793505626,2.25,0.444261658319,3.0,0.0,2.8,0.410391340834,2.55,0.510417785534
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.444261658319,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.15,0.366347548533,1.0,0.0,1.0,0.0,1.0,0.0,0.9,0.307793505626,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.05,0.22360679775,2.0,0.0,1.0,0.0,1.0,0.0,1.9,0.307793505626,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.8,0.410391340834,2.0,0.0,1.0,0.0,1.1,0.307793505626,2.0,0.0,2.05,0.22360679775,2.1,0.307793505626,2.2,0.410391340834,2.05,0.22360679775,3.0,0.0,2.35,0.48936048493,2.65,0.48936048493
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22360679775,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7,0.470162345982,1.0,0.0,1.0,0.0,1.0,0.0,0.55,0.510417785534,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.35,0.48936048493,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.1,0.307793505626,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.1,0.307793505626,2.1,0.307793505626,2.0,0.0,3.0,0.0,2.5,0.512989176043,2.5,0.512989176043
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.307793505626,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.2,0.410391340834,1.0,0.0,1.0,0.0,1.0,0.0,0.75,0.444261658319,1.05,0.22360679775,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.05,0.22360679775,1.0,0.0,1.75,0.444261658319,2.0,0.0,2.1,0.307793505626,2.05,0.22360679775,2.0,0.0,3.0,0.0,2.35,0.48936048493,2.4,0.50262468995
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.366347548533,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05,0.22360679775,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5,0.512989176043,1.1,0.307793505626,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.3,0.470162345982,2.0,0.0,2.1,0.307793505626,2.05,0.22360679775,2.0,0.0,3.0,0.0,2.45,0.510417785534,2.25,0.444261658319
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05,0.22360679775,1.3,0.470162345982,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.1,0.307793505626,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.4,0.50262468995,2.35,0.48936048493
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.444261658319,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.05,0.22360679775,1.15,0.366347548533,1.0,0.0,1.0,0.0,0.8,0.410391340834,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.05,0.22360679775,2.1,0.307793505626,2.0,0.0,3.0,0.0,2.4,0.50262468995,2.4,0.50262468995
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.50262468995,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.55,0.510417785534,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.95,0.22360679775,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.05,0.22360679775,1.0,0.0,1.0,0.0,2.0,0.0,2.05,0.22360679775,2.0,0.0,1.8,0.410391340834,3.0,0.0,2.3,0.470162345982,2.35,0.48936048493
