"Duration","0.001_0.005_0.0033","","0.001_0.005_0.0066","","0.001_0.005_0.0099","","0.001_0.01_0.0033","","0.001_0.01_0.0066","","0.001_0.01_0.0099","","0.001_0.015_0.0033","","0.001_0.015_0.0066","","0.001_0.015_0.0099","","0.001_0.02_0.0033","","0.001_0.02_0.0066","","0.001_0.02_0.0099","","0.002_0.005_0.0033","","0.002_0.005_0.0066","","0.002_0.005_0.0099","","0.002_0.01_0.0033","","0.002_0.01_0.0066","","0.002_0.01_0.0099","","0.002_0.015_0.0033","","0.002_0.015_0.0066","","0.002_0.015_0.0099","","0.002_0.02_0.0033","","0.002_0.02_0.0066","","0.002_0.02_0.0099","","0.003_0.005_0.0033","","0.003_0.005_0.0066","","0.003_0.005_0.0099","","0.003_0.01_0.0033","","0.003_0.01_0.0066","","0.003_0.01_0.0099","","0.003_0.015_0.0033","","0.003_0.015_0.0066","","0.003_0.015_0.0099","","0.003_0.02_0.0033","","0.003_0.02_0.0066","","0.003_0.02_0.0099","","0.004_0.005_0.0033","","0.004_0.005_0.0066","","0.004_0.005_0.0099","","0.004_0.01_0.0033","","0.004_0.01_0.0066","","0.004_0.01_0.0099","","0.004_0.015_0.0033","","0.004_0.015_0.0066","","0.004_0.015_0.0099","","0.004_0.02_0.0033","","0.004_0.02_0.0066","","0.004_0.02_0.0099",""
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.52,0.509901951359,0.24,0.435889894354,0.64,0.489897948557,0.8,0.408248290464,0.6,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.76,0.435889894354,1.4,0.5,1.08,0.276887462097,1.0,0.0,1.0,0.0,1.0,0.0,1.36,0.489897948557,1.2,0.408248290464,1.24,0.435889894354,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.04,0.2,2.04,0.2,2.08,0.276887462097,2.08,0.276887462097,2.0,0.0,2.36,0.489897948557,2.4,0.5,2.36,0.489897948557,2.76,0.435889894354,2.6,0.5,2.56,0.506622805119,3.36,0.489897948557,3.16,0.374165738677,2.96,0.2
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.374165738677,0.04,0.2,0.0,0.0,0.56,0.506622805119,0.48,0.509901951359,0.32,0.47609522857,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.28,0.458257569496,1.08,0.276887462097,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.32,0.47609522857,1.2,0.408248290464,1.08,0.276887462097,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.2,0.408248290464,2.08,0.276887462097,2.12,0.331662479036,3.0,0.0,3.0,0.0,3.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.408248290464,0.8,0.408248290464,0.72,0.458257569496,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.76,0.435889894354,1.16,0.374165738677,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.68,0.47609522857,1.44,0.506622805119,1.12,0.331662479036,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.08,0.276887462097,2.04,0.2,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.435889894354,0.84,0.374165738677,0.6,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.8,0.408248290464,1.2,0.408248290464,1.08,0.276887462097,1.0,0.0,1.0,0.0,1.0,0.0,1.96,0.2,1.76,0.435889894354,1.76,0.435889894354,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.36,0.489897948557,2.08,0.276887462097,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56,0.506622805119,0.56,0.506622805119,0.56,0.506622805119,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.72,0.458257569496,1.16,0.374165738677,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.92,0.276887462097,1.88,0.331662479036,1.68,0.47609522857,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.68,0.47609522857,2.16,0.374165738677,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.36,0.489897948557,0.2,0.408248290464,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.28,0.458257569496,1.08,0.276887462097,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.84,0.374165738677,1.76,0.435889894354,1.72,0.458257569496,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.48,0.509901951359,2.2,0.408248290464,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.435889894354,0.04,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.56,0.506622805119,1.36,0.489897948557,1.24,0.435889894354,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.52,0.509901951359,2.08,0.276887462097,2.04,0.2,3.0,0.0,3.0,0.0,3.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.52,0.509901951359,0.76,0.435889894354,0.8,0.408248290464,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.12,0.331662479036,1.04,0.2,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.04,0.2,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.458257569496,0.2,0.408248290464,0.2,0.408248290464,1.0,0.0,1.0,0.0,0.96,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0,0.0,0.84,0.374165738677,0.96,0.2,0.72,0.458257569496,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.64,0.489897948557,1.44,0.506622805119,1.32,0.47609522857,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.88,0.331662479036,1.92,0.276887462097,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,2.8,0.408248290464,2.48,0.509901951359
