"Duration","0.001_0.005_2000","","0.001_0.005_4000","","0.001_0.005_6000","","0.001_0.005_8000","","0.001_0.01_2000","","0.001_0.01_4000","","0.001_0.01_6000","","0.001_0.01_8000","","0.001_0.015_2000","","0.001_0.015_4000","","0.001_0.015_6000","","0.001_0.015_8000","","0.001_0.02_2000","","0.001_0.02_4000","","0.001_0.02_6000","","0.001_0.02_8000","","0.002_0.005_2000","","0.002_0.005_4000","","0.002_0.005_6000","","0.002_0.005_8000","","0.002_0.01_2000","","0.002_0.01_4000","","0.002_0.01_6000","","0.002_0.01_8000","","0.002_0.015_2000","","0.002_0.015_4000","","0.002_0.015_6000","","0.002_0.015_8000","","0.002_0.02_2000","","0.002_0.02_4000","","0.002_0.02_6000","","0.002_0.02_8000","","0.003_0.005_2000","","0.003_0.005_4000","","0.003_0.005_6000","","0.003_0.005_8000","","0.003_0.01_2000","","0.003_0.01_4000","","0.003_0.01_6000","","0.003_0.01_8000","","0.003_0.015_2000","","0.003_0.015_4000","","0.003_0.015_6000","","0.003_0.015_8000","","0.003_0.02_2000","","0.003_0.02_4000","","0.003_0.02_6000","","0.003_0.02_8000","","0.004_0.005_2000","","0.004_0.005_4000","","0.004_0.005_6000","","0.004_0.005_8000","","0.004_0.01_2000","","0.004_0.01_4000","","0.004_0.01_6000","","0.004_0.01_8000","","0.004_0.015_2000","","0.004_0.015_4000","","0.004_0.015_6000","","0.004_0.015_8000","","0.004_0.02_2000","","0.004_0.02_4000","","0.004_0.02_6000","","0.004_0.02_8000",""
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.307793505626,0.0,0.0,0.0,0.0,0.25,0.444261658319,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.15,0.366347548533,1.0,0.0,1.1,0.307793505626,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.1,0.307793505626,2.9,0.307793505626,0.0,0.0,1.95,0.22360679775,2.95,0.22360679775,4.0,0.0,0.3,0.470162345982,1.35,0.48936048493,2.1,0.307793505626,2.7,0.470162345982,0.95,0.22360679775,1.95,0.22360679775,2.5,0.512989176043,2.95,0.22360679775,1.0,0.0,2.05,0.22360679775,2.95,0.22360679775,3.9,0.307793505626,1.0,0.0,2.3,0.470162345982,3.8,0.410391340834,5.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.2,0.410391340834,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.05,0.22360679775,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.05,0.22360679775,2.0,0.0,2.95,0.22360679775,0.0,0.0,1.95,0.22360679775,2.9,0.307793505626,4.0,0.0,0.6,0.50262468995,1.0,0.0,2.0,0.0,2.1,0.307793505626,1.0,0.0,2.0,0.0,2.1,0.307793505626,3.0,0.0,1.0,0.0,2.0,0.0,2.95,0.22360679775,3.5,0.512989176043,1.0,0.0,2.0,0.0,3.15,0.366347548533,4.85,0.366347548533
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.95,0.22360679775,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.05,0.22360679775,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,0.95,0.22360679775,1.15,0.366347548533,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.55,0.510417785534
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.15,0.366347548533,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.1,0.307793505626,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.05,0.22360679775,2.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,1.75,0.444261658319,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.5,0.512989176043
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,0.366347548533,0.0,0.0,0.0,0.0,0.8,0.410391340834,2.0,0.0,0.0,0.0,0.0,0.0,0.95,0.22360679775,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.8,0.410391340834,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.3,0.470162345982,2.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,1.75,0.444261658319,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.5,0.512989176043
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.510417785534,0.0,0.0,0.0,0.0,0.25,0.444261658319,2.0,0.0,0.0,0.0,0.0,0.0,0.6,0.50262468995,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6,0.50262468995,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.95,0.22360679775,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.3,0.470162345982,2.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,1.8,0.410391340834,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.4,0.50262468995
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.366347548533,0.0,0.0,0.0,0.0,0.05,0.22360679775,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.307793505626,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.307793505626,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.8,0.410391340834,0.05,0.22360679775,2.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,1.55,0.510417785534,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.1,0.307793505626
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.307793505626,0.95,0.22360679775,0.0,0.0,0.0,0.0,0.9,0.307793505626,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.95,0.22360679775,1.85,0.366347548533,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.85,0.366347548533,0.0,0.0,1.0,0.0,1.8,0.410391340834,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.6,0.50262468995,0.0,0.0,1.9,0.307793505626,2.4,0.50262468995,4.0,0.0,1.0,0.0,1.15,0.366347548533,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.9,0.307793505626,1.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.05,0.22360679775
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.510417785534,0.0,0.0,0.0,0.0,0.4,0.50262468995,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.4,0.50262468995,0.0,0.0,0.45,0.510417785534,1.3,0.470162345982,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.15,0.366347548533,0.0,0.0,1.0,0.0,1.2,0.410391340834,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.1,0.307793505626,0.0,0.0,1.1,0.307793505626,2.05,0.22360679775,4.0,0.0,0.25,0.444261658319,1.0,0.0,2.0,0.0,2.0,0.0,0.75,0.444261658319,1.65,0.48936048493,2.0,0.0,2.5,0.512989176043,1.0,0.0,2.0,0.0,2.45,0.510417785534,3.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.307793505626,0.0,0.0,0.0,0.0,0.2,0.410391340834,0.9,0.307793505626,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.1,0.307793505626,1.05,0.22360679775,3.0,0.0,0.0,0.0,0.65,0.48936048493,1.0,0.0,1.05,0.22360679775,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.85,0.366347548533,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,0.1,0.307793505626,1.0,0.0,2.0,0.0,2.0,0.0,0.5,0.512989176043,2.0,0.0,2.0,0.0,3.0,0.0,0.95,0.22360679775,2.0,0.0,3.0,0.0,4.0,0.0
