"Series","Width","Best Duration","Peak Spikes"
1,3.25,2.0,1.6
2,5.0,2.0,2.0
3,4.5,2.0,3.0
4,4.93750000001,2.0,3.0
5,5.20833333334,2.0,3.0
6,5.5,2.0,3.0
7,5.5,2.0,3.0
8,5.63636363636,2.0,3.06666666667
9,5.81250000001,2.0,3.13333333333
10,5.85714285714,2.0,3.2
11,5.70000000001,2.0,3.53333333333
12,6.0,2.0,3.6
13,6.0,2.0,3.73333333333
14,5.40000000001,2.0,3.73333333333
15,5.33333333334,2.0,3.86666666667
16,5.89999999999,2.0,3.66666666667
17,5.87500000001,2.0,3.8
18,6.0652173913,2.0,3.8
19,5.70000000001,2.0,3.93333333333
20,5.75000000001,2.0,3.93333333333
